bit_length,prime,test_name,is_smooth,description,algorithm,time_seconds,result,status,memory_estimate
16,65537,Tiny Prime,False,Basic 16-bit test,Brute Force,0.0005906999576836824,1543,PASSED,1000
16,65537,Tiny Prime,False,Basic 16-bit test,Baby-step Giant-step,0.00011230004020035267,1543,PASSED,7196
16,65537,Tiny Prime,False,Basic 16-bit test,Pollard's Rho,0.00041910004802048206,1543,PASSED,1000
16,65537,Tiny Prime,False,Basic 16-bit test,Pohlig-Hellman,6.660004146397114e-05,1543,PASSED,1000
20,1048583,Small Prime,False,20-bit non-smooth,Brute Force,0.02722309995442629,45678,PASSED,1000
20,1048583,Small Prime,False,20-bit non-smooth,Baby-step Giant-step,0.00045240006875246763,45678,PASSED,28700
20,1048583,Small Prime,False,20-bit non-smooth,Pollard's Rho,0.000498299952596426,45678,PASSED,1000
20,1048583,Small Prime,False,20-bit non-smooth,Pohlig-Hellman,5.749997217208147e-05,45678,PASSED,1000
24,16777259,Medium Prime,False,24-bit standard,Brute Force,1.093857100000605,1234567,PASSED,1000
24,16777259,Medium Prime,False,24-bit standard,Baby-step Giant-step,0.002465600031428039,1234567,PASSED,114716
24,16777259,Medium Prime,False,24-bit standard,Pollard's Rho,0.0018761000828817487,1234567,PASSED,1000
24,16777259,Medium Prime,False,24-bit standard,Pohlig-Hellman,0.0016734000528231263,9623196,PASSED,1000
26,106696591,Smooth Prime,True,26-bit smooth p-1,Brute Force,1.08009599999059,1234567,PASSED,1000
26,106696591,Smooth Prime,True,26-bit smooth p-1,Baby-step Giant-step,0.005995000014081597,1234567,PASSED,289240
26,106696591,Smooth Prime,True,26-bit smooth p-1,Pollard's Rho,0.004386199987493455,1234567,PASSED,1000
26,106696591,Smooth Prime,True,26-bit smooth p-1,Pohlig-Hellman,8.950009942054749e-05,1234567,PASSED,1000
28,268435459,Hard Prime,False,28-bit non-smooth,Brute Force,12.345082700019702,12345678,PASSED,1000
28,268435459,Hard Prime,False,28-bit non-smooth,Baby-step Giant-step,0.009580499958246946,12345678,PASSED,458780
28,268435459,Hard Prime,False,28-bit non-smooth,Pollard's Rho,0.03276839992031455,12345678,PASSED,1000
28,268435459,Hard Prime,False,28-bit non-smooth,Pohlig-Hellman,0.03544320003129542,12345678,PASSED,1000
32,4294967311,Large Prime,False,32-bit large,Brute Force,,,SKIPPED,
32,4294967311,Large Prime,False,32-bit large,Baby-step Giant-step,0.09167289990000427,123456789,PASSED,1835036
32,4294967311,Large Prime,False,32-bit large,Pollard's Rho,0.06319120002444834,123456789,PASSED,1000
32,4294967311,Large Prime,False,32-bit large,Pohlig-Hellman,,,SKIPPED,
40,1099511627791,XL Prime,False,40-bit extra large,Brute Force,,,SKIPPED,
40,1099511627791,XL Prime,False,40-bit extra large,Baby-step Giant-step,2.1103960999753326,987654321,PASSED,29360156
40,1099511627791,XL Prime,False,40-bit extra large,Pollard's Rho,1.5218259000685066,987654321,PASSED,1000
40,1099511627791,XL Prime,False,40-bit extra large,Pohlig-Hellman,,,SKIPPED,
32,1086953141,Smooth (32-bit),True,Generated 32-bit smooth,Brute Force,,,SKIPPED,
32,1086953141,Smooth (32-bit),True,Generated 32-bit smooth,Baby-step Giant-step,0.04480469995178282,773184428,PASSED,923132
32,1086953141,Smooth (32-bit),True,Generated 32-bit smooth,Pollard's Rho,0.040633799973875284,773184428,PASSED,1000
32,1086953141,Smooth (32-bit),True,Generated 32-bit smooth,Pohlig-Hellman,0.00018590001855045557,773184428,PASSED,1000
36,108196023673,Smooth (36-bit),True,Generated 36-bit smooth,Brute Force,,,SKIPPED,
36,108196023673,Smooth (36-bit),True,Generated 36-bit smooth,Baby-step Giant-step,0.7292840000009164,53424558998,PASSED,9210096
